>>> 4483409785568 FormatService.format()
>>> 4483409786014 list paths
<<< 4483409851396 list paths
>>> 4483409851415 read files
<<< 4483409871359 read files
>>> 4483409871379 start workers
>>> 4483409871940 start worker | 1
<<< 4483410959295 request and wait for format | ./lib/src/constants.dart
>>> 4483410959306 request and wait for format | ./lib/src/dart_formatter.dart
>>> 4483410959309 send format request | ./lib/src/dart_formatter.dart
<<< 4483410959321 send format request | ./lib/src/dart_formatter.dart
>>> 4483410959323 format | ./lib/src/dart_formatter.dart
<<< 4483411018985 format | ./lib/src/dart_formatter.dart
>>> 4483411018990 send format response | ./lib/src/dart_formatter.dart
<<< 4483411019000 send format response | ./lib/src/dart_formatter.dart
<<< 4483411019115 request and wait for format | ./lib/src/dart_formatter.dart
>>> 4483411019122 request and wait for format | ./lib/src/debug.dart
>>> 4483411019125 send format request | ./lib/src/debug.dart
<<< 4483411019155 send format request | ./lib/src/debug.dart
>>> 4483411019158 format | ./lib/src/debug.dart
<<< 4483411078927 format | ./lib/src/debug.dart
>>> 4483411078947 send format response | ./lib/src/debug.dart
<<< 4483411078975 send format response | ./lib/src/debug.dart
<<< 4483411079094 request and wait for format | ./lib/src/debug.dart
>>> 4483411079106 request and wait for format | ./lib/src/exceptions.dart
>>> 4483411079109 send format request | ./lib/src/exceptions.dart
<<< 4483411079124 send format request | ./lib/src/exceptions.dart
>>> 4483411079126 format | ./lib/src/exceptions.dart
<<< 4483411138879 format | ./lib/src/exceptions.dart
>>> 4483411138885 send format response | ./lib/src/exceptions.dart
<<< 4483411138899 send format response | ./lib/src/exceptions.dart
<<< 4483411139026 request and wait for format | ./lib/src/exceptions.dart
>>> 4483411139037 request and wait for format | ./lib/src/format_service.dart
>>> 4483411139040 send format request | ./lib/src/format_service.dart
<<< 4483411139054 send format request | ./lib/src/format_service.dart
>>> 4483411139056 format | ./lib/src/format_service.dart
<<< 4483411198820 format | ./lib/src/format_service.dart
>>> 4483411198844 send format response | ./lib/src/format_service.dart
<<< 4483411198879 send format response | ./lib/src/format_service.dart
<<< 4483411199047 request and wait for format | ./lib/src/format_service.dart
>>> 4483411199059 request and wait for format | ./lib/src/front_end/ast_node_visitor.dart
>>> 4483411199062 send format request | ./lib/src/front_end/ast_node_visitor.dart
<<< 4483411199079 send format request | ./lib/src/front_end/ast_node_visitor.dart
>>> 4483411199081 format | ./lib/src/front_end/ast_node_visitor.dart
<<< 4483411258690 format | ./lib/src/front_end/ast_node_visitor.dart
>>> 4483411258696 send format response | ./lib/src/front_end/ast_node_visitor.dart
<<< 4483411258711 send format response | ./lib/src/front_end/ast_node_visitor.dart
<<< 4483411258847 request and wait for format | ./lib/src/front_end/ast_node_visitor.dart
>>> 4483411258857 request and wait for format | ./lib/src/front_end/chain_builder.dart
>>> 4483411258860 send format request | ./lib/src/front_end/chain_builder.dart
<<< 4483411258874 send format request | ./lib/src/front_end/chain_builder.dart
>>> 4483411258876 format | ./lib/src/front_end/chain_builder.dart
<<< 4483411318888 format | ./lib/src/front_end/chain_builder.dart
>>> 4483411318908 send format response | ./lib/src/front_end/chain_builder.dart
<<< 4483411318943 send format response | ./lib/src/front_end/chain_builder.dart
<<< 4483411319097 request and wait for format | ./lib/src/front_end/chain_builder.dart
>>> 4483411319107 request and wait for format | ./lib/src/front_end/comment_writer.dart
>>> 4483411319111 send format request | ./lib/src/front_end/comment_writer.dart
<<< 4483411319127 send format request | ./lib/src/front_end/comment_writer.dart
>>> 4483411319129 format | ./lib/src/front_end/comment_writer.dart
<<< 4483411378687 format | ./lib/src/front_end/comment_writer.dart
>>> 4483411378694 send format response | ./lib/src/front_end/comment_writer.dart
<<< 4483411378713 send format response | ./lib/src/front_end/comment_writer.dart
<<< 4483411378853 request and wait for format | ./lib/src/front_end/comment_writer.dart
>>> 4483411378867 request and wait for format | ./lib/src/front_end/delimited_list_builder.dart
>>> 4483411378870 send format request | ./lib/src/front_end/delimited_list_builder.dart
<<< 4483411378889 send format request | ./lib/src/front_end/delimited_list_builder.dart
>>> 4483411378891 format | ./lib/src/front_end/delimited_list_builder.dart
<<< 4483411438537 format | ./lib/src/front_end/delimited_list_builder.dart
>>> 4483411438542 send format response | ./lib/src/front_end/delimited_list_builder.dart
<<< 4483411438554 send format response | ./lib/src/front_end/delimited_list_builder.dart
<<< 4483411438675 request and wait for format | ./lib/src/front_end/delimited_list_builder.dart
>>> 4483411438684 request and wait for format | ./lib/src/front_end/piece_factory.dart
>>> 4483411438687 send format request | ./lib/src/front_end/piece_factory.dart
<<< 4483411438700 send format request | ./lib/src/front_end/piece_factory.dart
>>> 4483411438702 format | ./lib/src/front_end/piece_factory.dart
<<< 4483411498335 format | ./lib/src/front_end/piece_factory.dart
>>> 4483411498341 send format response | ./lib/src/front_end/piece_factory.dart
<<< 4483411498351 send format response | ./lib/src/front_end/piece_factory.dart
<<< 4483411498473 request and wait for format | ./lib/src/front_end/piece_factory.dart
>>> 4483411498482 request and wait for format | ./lib/src/front_end/piece_writer.dart
>>> 4483411498484 send format request | ./lib/src/front_end/piece_writer.dart
<<< 4483411498497 send format request | ./lib/src/front_end/piece_writer.dart
>>> 4483411498500 format | ./lib/src/front_end/piece_writer.dart
<<< 4483411558136 format | ./lib/src/front_end/piece_writer.dart
>>> 4483411558141 send format response | ./lib/src/front_end/piece_writer.dart
<<< 4483411558151 send format response | ./lib/src/front_end/piece_writer.dart
<<< 4483411558262 request and wait for format | ./lib/src/front_end/piece_writer.dart
>>> 4483411558273 request and wait for format | ./lib/src/front_end/sequence_builder.dart
>>> 4483411558276 send format request | ./lib/src/front_end/sequence_builder.dart
<<< 4483411558285 send format request | ./lib/src/front_end/sequence_builder.dart
>>> 4483411558288 format | ./lib/src/front_end/sequence_builder.dart
<<< 4483411618241 format | ./lib/src/front_end/sequence_builder.dart
>>> 4483411618250 send format response | ./lib/src/front_end/sequence_builder.dart
<<< 4483411618274 send format response | ./lib/src/front_end/sequence_builder.dart
